indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
,1,class,40674,A.Mammalia,40674,B.Mammalia,=,,,,canonicalName,,
—,2,,9254,A.Prototheria,9254,B.Prototheria,=,,,,canonicalName,,
——,3,order,9255,A.Monotremata,9255,B.Monotremata,=,,,,canonicalName,,
———,4,family,9256,A.Ornithorhynchidae,,,,,,,,,
————,5,genus,9257,A.Ornithorhynchus,,,,,,,,,
—————,6,species,9258,A.Ornithorhynchus anatinus,9258,B.Ornithorhynchus anatinus,=,,,,canonicalName,,tip
———,7,family,9259,A.Tachyglossidae,9259,B.Tachyglossidae,=,,,,canonicalName,,
————,8,genus,9260,A.Tachyglossus,,,,,,,,,
—————,9,species,9261,A.Tachyglossus aculeatus,,,,,,,,,
————,11,genus,33542,A.Zaglossus,,,,,,,,,
————,13,genus,,,9260,B.Tachyglossus,,,,,,,
—————,14,species,,,9261,B.Tachyglossus aculeatus,,,,,,,
————,15,genus,,,33542,B.Zaglossus,,,,,,,
—————,16,species,,,1684341,B.Zaglossus attenboroughi,,,,,,,
—————,17,species,,,1684342,B.Zaglossus bartoni,,,,,,,
———,18,family,,,9256,B.Ornithorhynchidae,,,,,,,
————,19,genus,,,9257,B.Ornithorhynchus,,,,,,,
—,20,,32525,A.Theria,32525,B.Theria,=,,,,scientificName,,
——,21,,9263,A.Metatheria,9263,B.Metatheria,=,,,,canonicalName,,
———,22,order,38605,A.Didelphimorphia,38605,B.Didelphimorphia,=,,,,canonicalName,,
————,23,family,9265,A.Didelphidae,9265,B.Didelphidae,=,,,,canonicalName,,
—————,24,subfamily,126284,A.Caluromyinae,126284,B.Caluromyinae,=,,,,canonicalName,,
——————,25,genus,42712,A.Caluromys,42712,B.Caluromys,=,,,,canonicalName,,subtree=
——————,29,genus,42714,A.Glironia,,,,,,,,,
———————,30,species,42715,A.Glironia venusta,42715,B.Glironia venusta,=,,,,canonicalName,,tip
——————,31,genus,126285,A.Caluromysiops,,,,,,,,,
———————,32,species,126286,A.Caluromysiops irrupta,126286,B.Caluromysiops irrupta,=,,,,canonicalName,,tip
——————,33,genus,,,42714,B.Glironia,,,,,,,
——————,34,genus,,,126285,B.Caluromysiops,,,,,,,
—————,35,subfamily,126287,A.Didelphinae,126287,B.Didelphinae,=,,,,canonicalName,,
——————,36,genus,9266,A.Didelphis,9266,B.Didelphis,=,,,,canonicalName,,
———————,37,species,9267,A.Didelphis virginiana,9267,B.Didelphis virginiana,=,,,,canonicalName,,tip
———————,38,species,9268,A.Didelphis marsupialis,9268,B.Didelphis marsupialis,=,,,,canonicalName,,tip
———————,39,species,42716,A.Didelphis albiventris,42716,B.Didelphis albiventris,=,,,,canonicalName,,tip
———————,40,species,85694,A.Didelphis aurita,85694,B.Didelphis aurita,=,,,,canonicalName,,tip
———————,41,species,461399,A.Didelphis imperfecta,461399,B.Didelphis imperfecta,=,,,,scientificName,,tip
———————,42,species,994805,A.Didelphis pernigra,994805,B.Didelphis pernigra,=,,,,scientificName,,tip
———————,43,,,,2645117,B.unclassified Didelphis,,,,,,,
——————,45,genus,9269,A.Marmosa,,,,,,,,,
———————,46,species,42717,A.Marmosa rubra,42717,B.Marmosa rubra,=,,,,canonicalName,,tip
———————,47,species,91496,A.Marmosa robinsoni,91496,B.Marmosa robinsoni,=,,,,canonicalName,,subtree=
———————,50,species,126294,A.Marmosa lepida,126294,B.Marmosa lepida,=,,,,canonicalName,,tip
———————,51,species,126295,A.Marmosa murina,126295,B.Marmosa murina,=,,,,canonicalName,,subtree=
———————,54,species,225365,A.Marmosa andersoni,225365,B.Marmosa andersoni,=,,,,canonicalName,,tip
———————,55,species,225402,A.Marmosa mexicana,,,,,,,,,
———————,57,species,867172,A.Marmosa xerophila,867172,B.Marmosa xerophila,=,,,,scientificName,,tip
———————,58,species,867173,A.Marmosa tyleriana,867173,B.Marmosa tyleriana,=,,,,scientificName,,tip
——————,59,genus,9271,A.Philander,9271,B.Philander,=,,,,canonicalName,number_of_children,
———————,60,subspecies,42727,A.Philander opossum canus,42727,B.Philander canus,=,,,,,taxonRank; canonicalName; scientificName,tip
———————,61,subspecies,1254317,A.Philander opossum fuscogriseus,2202746,B.Philander melanurus,=,,,,,taxonRank; ncbi_id; canonicalName; scientificName,tip
———————,62,species,9272,A.Philander opossum,,,=,9271,B.Philander,lump,monotypic,,
———————,63,species,42729,A.Philander mcilhennyi,42729,B.Philander mcilhennyi,=,,,,canonicalName,,tip
———————,64,species,203684,A.Philander andersoni,203684,B.Philander andersoni,=,,,,canonicalName,,tip
———————,65,species,225405,A.Philander frenatus,225405,B.Philander frenatus,=,,,,canonicalName,,tip
———————,66,species,,,9272,B.Philander opossum,,,,,,,
———————,68,species,,,2202747,B.Philander pallidus,,,,,,,
———————,69,species,,,2202750,B.Philander pebas,,,,,,,
———————,70,species,,,2202751,B.Philander quica,,,,,,,
——————,71,genus,13615,A.Monodelphis,13615,B.Monodelphis,=,,,,scientificName,number_of_children,
———————,72,species,13616,A.Monodelphis domestica,13616,B.Monodelphis domestica,=,,,,canonicalName,,tip
———————,73,species,42726,A.Monodelphis adusta,42726,B.Monodelphis adusta,=,,,,canonicalName,,tip
———————,74,species,126299,A.Monodelphis emiliae,126299,B.Monodelphis emiliae,=,,,,canonicalName,,tip
———————,75,species,203680,A.Monodelphis brevicaudata,203680,B.Monodelphis brevicaudata,=,,,,scientificName,,tip
———————,76,species,203681,A.Monodelphis kunsi,203681,B.Monodelphis kunsi,=,,,,canonicalName,,tip
———————,77,species,225403,A.Monodelphis theresa,225403,B.Monodelphis theresa,=,,,,canonicalName,,tip
———————,78,species,372560,A.Monodelphis osgoodi,372560,B.Monodelphis osgoodi,=,,,,canonicalName,,tip
———————,79,species,372564,A.Monodelphis peruviana,372564,B.Monodelphis peruviana,=,,,,canonicalName,,tip
———————,80,species,376626,A.Monodelphis handleyi,376626,B.Monodelphis handleyi,=,,,,canonicalName,,tip
———————,81,species,433365,A.Monodelphis dimidiata,433365,B.Monodelphis dimidiata,=,,,,canonicalName,,tip
———————,82,species,461410,A.Monodelphis reigi,461410,B.Monodelphis reigi,=,,,,canonicalName,,tip
———————,83,species,587434,A.Monodelphis iheringi,587434,B.Monodelphis iheringi,=,,,,scientificName,,tip
———————,84,species,694061,A.Monodelphis americana,694061,B.Monodelphis americana,=,,,,canonicalName,,tip
———————,85,species,943244,A.Monodelphis glirina,943244,B.Monodelphis glirina,=,,,,scientificName,,tip
———————,86,species,943245,A.Monodelphis sorex,943245,B.Monodelphis sorex,=,,,,scientificName,,tip
———————,87,species,943246,A.Monodelphis scalops,943246,B.Monodelphis scalops,=,,,,scientificName,,tip
———————,88,species,979183,A.Monodelphis umbristriata,979183,B.Monodelphis umbristriata,=,,,,scientificName,,tip
———————,89,species,1185514,A.Monodelphis touan,1185514,B.Monodelphis touan,=,,,,scientificName,,tip
———————,90,species,1185641,A.Monodelphis arlindoi,1185641,B.Monodelphis arlindoi,=,,,,scientificName,,tip
———————,91,species,1398217,A.Monodelphis sanctaerosae,1398217,B.Monodelphis sanctaerosae,=,,,,scientificName,,tip
———————,92,species,1523449,A.Monodelphis gardneri,1523449,B.Monodelphis gardneri,=,,,,scientificName,,tip
———————,93,species,1523450,A.Monodelphis palliolata,1523450,B.Monodelphis palliolata,=,,,,scientificName,,tip
———————,94,,,,2623451,B.unclassified Monodelphis,particle-set<=,13615,A.Monodelphis,split,monotypic,,
——————,103,genus,38619,A.Lutreolina,38619,B.Lutreolina,=,,,,canonicalName,,
———————,104,species,38620,A.Lutreolina crassicaudata,38620,B.Lutreolina crassicaudata,=,,,,canonicalName,,tip
———————,105,species,1404342,A.Lutreolina sp. 1 GDE-2013,1404342,B.Lutreolina massoia,=,,,,ncbi_id,canonicalName,tip
——————,106,genus,42721,A.Marmosops,42721,B.Marmosops,=,,,,canonicalName,number_of_children,
———————,107,species,42722,A.Marmosops impavidus,42722,B.Marmosops impavidus,=,,,,canonicalName,number_of_children,
————————,108,subspecies,,,42723,B.Marmosops impavidus albiventris,,,,,,,
———————,109,species,91497,A.Marmosops dorothea,91497,B.Marmosops dorothea,=,,,,canonicalName,,tip
———————,110,species,126296,A.Marmosops noctivagus,126296,B.Marmosops noctivagus,=,,,,canonicalName,,tip
———————,111,species,126298,A.Marmosops parvidens,126298,B.Marmosops parvidens,=,,,,canonicalName,,tip
———————,112,species,225404,A.Marmosops incanus,225404,B.Marmosops incanus,=,,,,canonicalName,,tip
———————,113,species,255064,A.Marmosops pinheiroi,255064,B.Marmosops pinheiroi,=,,,,canonicalName,,tip
———————,114,species,461409,A.Marmosops invictus,461409,B.Marmosops invictus,=,,,,canonicalName,,tip
———————,115,species,1353427,A.Marmosops pakaraimae,1353427,B.Marmosops pakaraimae,=,,,,scientificName,,tip
———————,116,species,1353429,A.Marmosops paulensis,1353429,B.Marmosops paulensis,=,,,,scientificName,,tip
———————,117,species,,,372561,B.Marmosops handleyi,,,,,,,
———————,118,species,,,1785600,B.Marmosops caucae,,,,,,,
———————,119,species,,,1785602,B.Marmosops carri,,,,,,,
———————,120,species,,,1785723,B.Marmosops fuscatus,,,,,,,
———————,121,species,,,1785724,B.Marmosops bishopi,,,,,,,
———————,122,species,,,1785725,B.Marmosops creightoni,,,,,,,
———————,123,species,,,1785726,B.Marmosops ocellatus,,,,,,,
———————,124,species,,,1785727,B.Marmosops ojastii,,,,,,,
———————,125,species,,,1785728,B.Marmosops juninensis,,,,,,,
———————,126,,,,2629010,B.unclassified Marmosops,,,,,,,
——————,128,genus,42724,A.Metachirus,,,,,,,,,
———————,129,species,42725,A.Metachirus nudicaudatus,42725,B.Metachirus nudicaudatus,=,,,,canonicalName,number_of_children,
————————,130,subspecies,,,2588668,B.Metachirus nudicaudatus myosuros,,,,,,,
——————,131,genus,91499,A.Chironectes,,,,,,,,,
——————,133,genus,91501,A.Thylamys,91501,B.Thylamys,=,,,,canonicalName,number_of_children,
———————,134,species,91502,A.Thylamys venustus,91502,B.Thylamys venustus,=,,,,canonicalName,,tip
———————,135,species,126301,A.Thylamys pallidior,126301,B.Thylamys pallidior,=,,,,canonicalName,,tip
———————,136,species,191871,A.Thylamys elegans,191871,B.Thylamys elegans,=,,,,canonicalName,,tip
———————,137,species,191872,A.Thylamys macrura,191872,B.Thylamys macrura,=,,,,canonicalName,,tip
———————,138,species,299624,A.Thylamys cinderella,299624,B.Thylamys cinderella,=,,,,canonicalName,,tip
———————,139,species,416366,A.Thylamys velutinus,416366,B.Thylamys velutinus,=,,,,canonicalName,,tip
———————,140,species,476203,A.Thylamys karimii,476203,B.Thylamys karimii,=,,,,canonicalName,,tip
———————,141,,866635,A.Thylamys pusillus species complex,866635,B.Thylamys pusillus species complex,=,,,,canonicalName,,subtree=
———————,145,species,938163,A.Thylamys sponsorius,938163,B.Thylamys sponsorius,=,,,,scientificName,,tip
———————,146,species,938164,A.Thylamys tatei,938164,B.Thylamys tatei,=,,,,scientificName,,tip
———————,147,,,,2639669,B.unclassified Thylamys,particle-set<=,91501,A.Thylamys,split,monotypic,,
——————,153,genus,126288,A.Gracilinanus,126288,B.Gracilinanus,=,,,,canonicalName,number_of_children,
———————,154,species,126289,A.Gracilinanus microtarsus,126289,B.Gracilinanus microtarsus,=,,,,canonicalName,,tip
———————,155,species,191870,A.Gracilinanus agilis,191870,B.Gracilinanus agilis,=,,,,canonicalName,,tip
———————,156,species,320550,A.Gracilinanus emiliae,320550,B.Gracilinanus emiliae,=,,,,canonicalName,,tip
———————,157,species,320551,A.Gracilinanus aceramarcae,320551,B.Gracilinanus aceramarcae,=,,,,canonicalName,,tip
———————,158,species,1585906,A.Gracilinanus peruanus,1585906,B.Gracilinanus peruanus,=,,,,canonicalName,,tip
———————,159,species,,,1819352,B.Gracilinanus marica,,,,,,,
——————,160,genus,126291,A.Lestodelphys,,,,,,,,,
——————,162,genus,225727,A.Tlacuatzin,,,,,,,,,
——————,164,genus,320553,A.Cryptonanus,320553,B.Cryptonanus,=,,,,canonicalName,,
———————,165,species,320554,A.Cryptonanus unduaviensis,320554,B.Cryptonanus unduaviensis,=,,,,canonicalName,,tip
———————,166,species,320555,A.Cryptonanus chacoensis,320555,B.Cryptonanus chacoensis,=,,,,canonicalName,,tip
———————,167,species,1353526,A.Cryptonanus agricolai,1353526,B.Cryptonanus agricolai,=,,,,scientificName,,tip
———————,168,species,1595887,A.Cryptonanus guahybae,1595887,B.Cryptonanus guahybae,=,,,,scientificName,,tip
———————,169,,,,2625093,B.unclassified Cryptonanus,,,,,,,
————————,170,species,932623,A.Cryptonanus sp. SSL-2010,932623,B.Cryptonanus sp. SSL-2010,=,,,moved,canonicalName,,tip
————————,171,species,,,1660243,B.Cryptonanus sp. RGR-2015,,,,,,,
————————,172,species,,,1778002,B.Cryptonanus sp. MZUSP35409,,,,,,,
————————,173,species,,,1932376,B.Cryptonanus sp. M1461,,,,,,,
——————,174,genus,,,9269,B.Marmosa#9269,particle-set<=,126287,A.Didelphinae,split,monotypic,,
———————,175,genus,42718,A.Micoureus,42718,B.Micoureus,=,,,moved,scientificName,number_of_children; taxonRank,
————————,176,species,42719,A.Micoureus demerarae,42719,B.Marmosa demerarae,=,,,,,canonicalName; scientificName,tip
————————,177,species,42720,A.Micoureus regina,,,,,,,,,
————————,178,species,225729,A.Micoureus paraguayanus,225729,B.Marmosa paraguayana,=,,,,,canonicalName; scientificName,tip
————————,179,species,867190,A.Micoureus constantiae,867190,B.Marmosa constantiae,=,,,,,canonicalName; scientificName,tip
————————,180,species,1202162,A.Micoureus alstoni,1202162,B.Marmosa alstoni,=,,,,,canonicalName; scientificName,tip
————————,181,species,,,42720,B.Micoureus regina,split,42720,A.Micoureus regina,,scientificName,,
————————,182,species,,,2603950,B.Marmosa budini,,,,,,,
————————,183,species,,,2747325,B.Marmosa limae,,,,,,,
————————,184,species,,,2747326,B.Marmosa meridae,,,,,,,
————————,185,species,,,2747327,B.Marmosa parda,,,,,,,
————————,186,species,,,2747328,B.Marmosa perplexa,,,,,,,
————————,187,species,,,2747329,B.Marmosa phaea,,,,,,,
————————,188,species,,,2747330,B.Marmosa rapposa,,,,,,,
————————,189,species,,,2747331,B.Marmosa rutteri,,,,,,,
————————,190,species,,,2747336,B.Marmosa germana,split,42720,A.Micoureus regina,,,,
