indent,operation,dom,dom id,relation,cod id,cod,unchanged,changed_props,reason,rank
,SHARED,N20.Primates,9443,=,798,G.Primates,,number_of_children; scientificName,cross-mrca =,order
__,A ONLY,N20.unclassified_Primates,57118,,,,,,,
____,A ONLY,N20.marmosets,38020,,,,,,,species
____,A ONLY,N20.unidentified_monkey,70699,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAA0001,976298,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAC9009,976299,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAE4744,976300,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAJ7304,976301,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAO0053,976302,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAC7735,1068292,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAD0215,1068293,,,,,,,species
____,A ONLY,N20.Primates_sp._BOLD:AAF0367,1068294,,,,,,,species
__,SHARED,N20.Indriidae,30599,=,9422,G.Indridae,,number_of_children; canonicalName,,family
____,A ONLY,N20.Propithecus,30600,,,,,,,genus
______,SHARED,N20.Propithecus_tattersalli,30601,=,5219528,G.Propithecus_tattersalli,tip,,scientificName,species
______,SHARED,N20.Propithecus_verreauxi,34825,=,5219530,G.Propithecus_verreauxi,,,scientificName,species
________,A ONLY,N20.Propithecus_verreauxi_verreauxi,122229,,,,,,,subspecies
________,B ONLY,,,,10167235,G.BOLD:ACS3830,,,,unranked
______,A ONLY,N20.Propithecus_diadema,83281,,,,,,,species
________,SHARED,N20.Propithecus_diadema_diadema,171945,=,5707426,G.Propithecus_diadema_diadema,tip,,canonicalName,subspecies
________,A ONLY,N20.Propithecus_diadema_marshi,171947,,,,,,,subspecies
______,SHARED,N20.Propithecus_coquereli,379532,=,5707433,G.Propithecus_coquereli,tip,scientificName,canonicalName,species
______,SHARED,N20.Propithecus_deckenii,475618,=,7528726,G.Propithecus_deckenii#7528726,,number_of_children,scientificName,species
________,SHARED (moved from 475618),N20.Propithecus_deckenii_coronatus,475619,=,5786024,G.Propithecus_coronatus,tip,taxonRank; canonicalName; scientificName,,species
________,A ONLY,N20.Propithecus_deckenii_deckenii,481705,,,,,,,subspecies
______,SHARED,N20.Propithecus_edwardsi,543559,=,5707429,G.Propithecus_edwardsi,,number_of_children,scientificName,species
________,B ONLY,,,,10271461,G.BOLD:ACU9018,,,,unranked
________,B ONLY,,,,10016660,G.BOLD:ACV7446,,,,unranked
